"langs","codes","fams","scripts","word.len","word.size","char.len","char.size","char.h0","char.h1","char.H2","char.h2","char.H3","char.h3","word.mawe10000.h0","word.mawe10000.h1","word.mawe10000.H2","word.mawe10000.h2","word.mawe10000.H3","word.mawe10000.h3","mattr500","mattr1000","mattr2000","word1","word2","word3","word4","word5","word1.prop","word2.prop","word5.prop","word10.prop","word25.prop","word50.prop","word100.prop","beta","beta.error","beta.100","beta.100.error"
"Voynich 3 Maximal","voy.3.com","Voynich","Voynich",11755,3419,73939,30,4.90689059560852,3.88527757650023,5.92136731114272,2.03608973464249,7.67619198966025,1.75482467851752,10.6821408143745,9.49869141360255,11.9191975248906,2.42050611128801,12.029978994236,0.110781469345462,0.637160130718954,0.551949779249448,0.472971984805318,"aiin","chedy","qokeey","ar","al",0.017524457677584,0.0161633347511697,0.0736707783921735,0.128881327094853,0.230710336027222,0.331943853679285,0.437856231390898,-0.573581057815691,0.00302136061921239,-0.498968198403658,0.0177933381753157
"Voynich 3 Maximal Text","voy.3.com.text","Voynich","Voynich",11328,3302,71361,30,4.90689059560852,3.88485025905662,5.91182526310359,2.02697500404697,7.65712837558354,1.74530311247995,10.5278970618693,9.39896570416293,11.7263207041694,2.32735500000646,11.8286063839126,0.102285679743161,0.638833510074231,0.555930894308943,0.477237951807229,"aiin","chedy","qokeey","ar","al",0.0181850282485876,0.0165960451977401,0.0744173728813559,0.130296610169492,0.232079802259887,0.333862994350282,0.441295903954802,-0.578433969859951,0.00300870513306824,-0.505827033299176,0.0169382622361859
"Voynich 3 Maximal Simplified","voy.3","Voynich","Voynich",11755,3419,73936,22,4.4594316186373,3.88291132731784,5.91904278692211,2.03613145960428,7.67437746095057,1.75533467402846,10.6821408143745,9.49869141360255,11.9191975248906,2.42050611128801,12.029978994236,0.110781469345462,0.637160130718954,0.551949779249448,0.472971984805318,"aiin","chedy","qokeey","ar","al",0.017524457677584,0.0161633347511697,0.0736707783921735,0.128881327094853,0.230710336027222,0.331943853679285,0.437856231390898,-0.573581057815691,0.00302136061921239,-0.498968198403658,0.0177933381753157
"Voynich 3 Maximal Simplified Text","voy.3.text","Voynich","Voynich",11328,3302,71358,22,4.4594316186373,3.88241218273889,5.9094864692542,2.0270742865153,7.65529327570375,1.74580680644956,10.5278970618693,9.39896570416293,11.7263207041694,2.32735500000646,11.8286063839126,0.102285679743161,0.638833510074231,0.555930894308943,0.477237951807229,"aiin","chedy","qokeey","ar","al",0.0181850282485876,0.0165960451977401,0.0744173728813559,0.130296610169492,0.232079802259887,0.333862994350282,0.441295903954802,-0.578433969859951,0.00300870513306824,-0.505827033299176,0.0169382622361859
"Voynich 3 Minimal","voy.3.min","Voynich","Voynich",11755,3406,60207,39,5.28540221886225,3.95591095132564,6.30285787593003,2.3469469246044,8.40391077035813,2.1010528944281,10.6787029772961,9.49563455069633,11.9187974848866,2.42316293419023,12.029978994236,0.111181509349462,0.636910130718954,0.551533112582781,0.472293684710351,"aM","Sedy","qkEy","ar","al",0.017524457677584,0.0161633347511697,0.0736707783921735,0.128881327094853,0.230880476393024,0.332113994045087,0.438026371756699,-0.573307347478073,0.00302571773800413,-0.498765714576809,0.0178122863110527
"Voynich 3 Minimal Text","voy.3.min.text","Voynich","Voynich",11328,3290,58026,39,5.28540221886225,3.95423389785909,6.29246856796673,2.33823467010764,8.38481114297968,2.09234257501295,10.5242620622007,9.39568788540321,11.7259206641654,2.33023277876218,11.8286063839126,0.102685719747162,0.638572640509014,0.555514227642276,0.476612449799197,"aM","Sedy","qkEy","ar","al",0.0181850282485876,0.0165960451977401,0.0744173728813559,0.130296610169492,0.232256355932203,0.334039548022599,0.441472457627119,-0.578162945221581,0.00301270940612143,-0.505619941208034,0.0169536877212668
"Voynich 4 Maximal","voy.4.com","Voynich","Voynich",2864,1548,17603,24,4.58496250072116,3.81504551551164,6.13462927943217,2.31958376392053,8.1334052526459,1.99877597321373,10.5961897561444,9.76614514182237,11.4419115620504,1.67576642022799,11.4821091447071,0.0401975826567433,0.732274725274725,0.653975308641975,0.622212962962963,"ar","al","aiin","dar","daiin",0.0178072625698324,0.0167597765363128,0.0729748603351955,0.120111731843575,0.200418994413408,0.284916201117318,0.38372905027933,-0.607035135274539,0.00451246395729946,-0.549872195259319,0.0161062728116971
"Voynich 4 Maximal Text","voy.4.com.text","Voynich","Voynich",353,268,2158,20,4.32192809488736,3.8151951005973,5.96536854055908,2.15017343996178,7.64561978100665,1.68025124044757,8.06608919045777,7.8411338550274,8.45374980045548,0.612615945428082,8.45532722030456,0.00157741984908277,0.759206798866855,0.759206798866855,0.759206798866855,"shey","daiin","dal","qokal","s",0.0254957507082153,0.0198300283286119,0.0906515580736544,0.147308781869688,0.257790368271955,0.382436260623229,0.524079320113314,-0.704057181800002,0.0137350665904884,-0.646992308728099,0.0188057184789809
"Voynich 4 Maximal Simplified","voy.4","Voynich","Voynich",2864,1548,17603,21,4.39231742277876,3.81291364125209,6.13221020068409,2.319296559432,8.13149995903788,1.9992897583538,10.5961897561444,9.76614514182237,11.4419115620504,1.67576642022799,11.4821091447071,0.0401975826567433,0.732274725274725,0.653975308641975,0.622212962962963,"ar","al","aiin","dar","daiin",0.0178072625698324,0.0167597765363128,0.0729748603351955,0.120111731843575,0.200418994413408,0.284916201117318,0.38372905027933,-0.607035135274539,0.00451246395729946,-0.549872195259319,0.0161062728116971
"Voynich 4 Maximal Simplified Text","voy.4.text","Voynich","Voynich",353,268,2158,20,4.32192809488736,3.8151951005973,5.96536854055908,2.15017343996178,7.64561978100665,1.68025124044757,8.06608919045777,7.8411338550274,8.45374980045548,0.612615945428082,8.45532722030456,0.00157741984908277,0.759206798866855,0.759206798866855,0.759206798866855,"shey","daiin","dal","qokal","s",0.0254957507082153,0.0198300283286119,0.0906515580736544,0.147308781869688,0.257790368271955,0.382436260623229,0.524079320113314,-0.704057181800002,0.0137350665904884,-0.646992308728099,0.0188057184789809
"Voynich 4 Minimal","voy.4.min","Voynich","Voynich",2864,1548,15285,36,5.16992500144231,3.8668541828824,6.42439312468564,2.55753894180324,8.64178374626781,2.21739062158217,10.5961897561444,9.76614514182237,11.4419115620504,1.67576642022799,11.4821091447071,0.0401975826567433,0.732274725274725,0.653975308641975,0.622212962962963,"ar","al","aM","dar","daM",0.0178072625698324,0.0167597765363128,0.0729748603351955,0.120111731843575,0.200418994413408,0.284916201117318,0.38372905027933,-0.607035135274539,0.00451246395729946,-0.549872195259319,0.0161062728116971
"Voynich 4 Minimal Text","voy.4.min.text","Voynich","Voynich",353,268,1774,29,4.85798099512757,3.90400918666666,6.29972015486686,2.3957109682002,8.15322552473594,1.85350536986908,8.06608919045777,7.8411338550274,8.45374980045548,0.612615945428082,8.45532722030456,0.00157741984908277,0.759206798866855,0.759206798866855,0.759206798866855,"Zey","daM","dal","qkal","s",0.0254957507082153,0.0198300283286119,0.0906515580736544,0.147308781869688,0.257790368271955,0.382436260623229,0.524079320113314,-0.704057181800002,0.0137350665904884,-0.646992308728099,0.0188057184789809
